17:16:01,608  INFO DefaultTestContextBootstrapper:259 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
17:16:01,653  INFO DefaultTestContextBootstrapper:185 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2d928643, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5025a98f, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@49993335, org.springframework.test.context.support.DirtiesContextTestExecutionListener@20322d26, org.springframework.test.context.transaction.TransactionalTestExecutionListener@192b07fd, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@64bfbc86]
17:16:02,360  INFO XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [applicationContext.xml]
17:16:02,833  INFO GenericApplicationContext:578 - Refreshing org.springframework.context.support.GenericApplicationContext@32709393: startup date [Tue Mar 13 17:16:02 GMT+08:00 2018]; root of context hierarchy
17:16:02,941  INFO AutowiredAnnotationBeanPostProcessor:153 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
17:16:03,061  INFO MLog:80 - MLog clients using log4j logging.
17:16:03,459  INFO C3P0Registry:204 - Initializing c3p0-0.9.1.2 [built 21-May-2007 15:04:56; debug? true; trace: 10]
17:16:03,688  INFO LocalContainerEntityManagerFactoryBean:339 - Building JPA container EntityManagerFactory for persistence unit 'default'
17:16:03,689  WARN HibernatePersistence:41 - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; use [org.hibernate.jpa.HibernatePersistenceProvider] instead.
17:16:03,699  INFO LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
